run,num_tasks,num_employees,total_task_hours,avg_task_hours,avg_employee_hours,schedule_days,tasks_per_sec,elapsed_sec
1,50,10,1160,23.2,8.4,15,16.26551884998079,3.0740
2,50,10,1160,23.2,8.4,15,16.59580369105873,3.0128
3,50,10,1160,23.2,8.4,15,15.997436826830974,3.1255
4,50,10,1160,23.2,8.4,15,16.621247446087885,3.0082
5,50,10,1160,23.2,8.4,15,15.851972505201442,3.1542
6,50,10,1160,23.2,8.4,15,15.730366913264225,3.1786
7,50,10,1160,23.2,8.4,15,16.49583143731863,3.0311
8,50,10,1160,23.2,8.4,15,14.773873893357736,3.3844
9,50,10,1160,23.2,8.4,15,13.882102083462637,3.6018
10,50,10,1160,23.2,8.4,15,14.36259149287216,3.4813
